itemInternalName,korean_name,english_name,korean_set_name,english_set_name,korean_part_name,english_part_name
Arc Baby Raptor,팅팅 아기 랩터 옷,Arc Baby Raptor Costume,팅팅 아기 세트,Arc Baby Set,랩터 옷,Raptor Costume
Arc Teen Raptor,팅팅 완전체 랩터 옷,Arc Teen Raptor Costume,팅팅 완전체 세트,Arc Teen Set,랩터 옷,Raptor Costume
Archer Club Bow,클럽 양궁 활,Archery Club Bow,클럽 양궁 세트,Archery Club Set,활,Bow
Archer Club Hat,클럽 양궁 모자,Archery Club Hat,클럽 양궁 세트,Archery Club Set,모자,Hat
Archer Club Suit,클럽 양궁 셔츠,Archery Club Shirt,클럽 양궁 세트,Archery Club Set,셔츠,Shirt
Archer Club Glasses,클럽 양궁 안경,Archery Club Glasses,클럽 양궁 세트,Archery Club Set,고글,Glasses
Blow Birthday Hat,생일 파티 모자,Birthday Party Hat,생일 파티 세트,Birthday Party Set,모자,Hat
Blow Blow,생일 파티 뿌뿌,Birthday Party Horn,생일 파티 세트,Birthday Party Set,뿌뿌,Horn
Blow Cake,생일 파티 케이크,Birthday Party Cake,생일 파티 세트,Birthday Party Set,케이크,Cake
Blow Chest Ribbon,생일 파티 리본,Birthday Party Ribbon,생일 파티 세트,Birthday Party Set,리본,Ribbon
Bowling Pro Suit,프로 볼링 유니폼,Pro Bowling Uniform,프로 볼링 세트,Pro Bowling Set,유니폼,Uniform
Bowling Pro Headset,프로 볼링 헤드셋,Pro Bowling Headset,프로 볼링 세트,Pro Bowling Set,헤드셋,Headset
Bowling Pro Ball,프로 볼링 공,Pro Bowling Ball,프로 볼링 세트,Pro Bowling Set,공,Ball
Bowling Pro Glasses,프로 볼링 안경,Pro Bowling Glasses,프로 볼링 세트,Pro Bowling Set,안경,Glasses
Cat Black Hat,검은 고양이 모자,Black Cat Hat,검은 고양이 세트,Black Cat Set,모자,Hat
Cat Black Scarf,검은 고양이 스카프,Black Cat Scarf,검은 고양이 세트,Black Cat Set,스카프,Scarf
Cat Black Whiskers,검은 고양이 수염,Black Cat Whiskers,검은 고양이 세트,Black Cat Set,수염,Whiskers
Cat Black Salmon,검은 고양이 연어,Black Cat Salmon,검은 고양이 세트,Bkacj Cat Set,연어 초밥,Salmon
Cat Grey Hat,회색 고양이 모자,Grey Cat Hat,회색 고양이 세트,Grey Cat Set,모자,Hat
Cat Grey Scarf,회색 고양이 스카프,Grey Cat Scarf,회색 고양이 세트,Grey Cat Set,스카프,Scarf
Cat Grey Whiskers,회색 고양이 수염,Grey Cat Whiskers,회색 고양이 세트,Grey Cat Set,수염,Whiskers
Cat Grey Sausage Bread,회색 고양이 쏘세지빵,Grey Cat Sausage Bread,회색 고양이 세트,Grey Cat Set,쏘세지빵,Sausage Bread
Cat Siamese Hat,샴 고양이 모자,Siamese Cat Hat,샴 고양이 세트,Siamese Cat Set,모자,Hat
Cat Siamese Scarf,샴 고양이 스카프,Siamese Cat Scarf,샴 고양이 세트,Siamese Cat Set,스카프,Scarf
Cat Siamese Whiskers,샴 고양이 수염,Siamese Cat Whiskers,샴 고양이 세트,Siamese Cat Set,수염,Whiskers
Cat Siamese Kimbab,샴 고양이 김밥,Siamese Cat Kimbab,샴 고양이 세트,Siamese Cat Set,김밥,Kimbab
Cat Tabby Hat,점박이 고양이 모자,Tabby Cat Hat,점박이 고양이 세트,Tabby Cat Set,모자,Hat
Cat Tabby Scarf,점박이 고양이 스카프,Tabby Cat Scarf,점박이 고양이 세트,Tabby Cat Set,스카프,Scarf
Cat Tabby Whiskers,점박이 고양이 수염,Tabby Cat Whiskers,점박이 고양이 세트,Tabby Cat Set,수염,Whiskers
Cat Tabby Croissant,점박이 고양이 크로와상,Tabby Cat Croissant,점박이 고양이 세트,Tabby Cat Set,크로와상,Croissant
Cat Yellow Hat,메인쿤 모자,Maine Coon Hat,메인쿤 세트,Maine Coon Set,모자,Hat
Cat Yellow Scarf,메인쿤 스카프,Maine Coon Scarf,메인쿤 세트,Maine Coon Set,스카프,Scarf
Cat Yellow Whiskers,메인쿤 수염,Maine Coon Whiskers,메인쿤 세트,Maine Coon Set,수염,Whiskers
Cat Yellow Tuna,메인쿤 참치,Maine Coon Tuna,메인쿤 세트,Maine Coon Set,참치,Tuna
Cowboy Outlaw Rifle,카우오리 무법자 총,Outlaw Rifle,카우오리 무법자 세트,Outlaw Set,라이플,Rifle
Cowboy Outlaw Scarf,카우오리 무법자 스카프,Outlaw Scarf,카우오리 무법자 세트,Outlaw Set,스카프,Scarf
Cowboy Outlaw Mustache,카우오리 무법자 수염,Outlaw Mustache,카우오리 무법자 세트,Outlaw Set,수염,Mustache
Cowboy Outlaw Hat,카우오리 무법자 모자,Outlaw Hat,카우오리 무법자 세트,Outlaw Set,모자,Hat
Cowboy Sheriff Hat,카우오리 보안관 모자,Sheriff Hat,카우오리 보안관 세트,Sheriff Set,모자,Hat
Cowboy Sheriff Mustache,카우오리 보안관 수염,Sheriff Mustache,카우오리 보안관 세트,Sheriff Set,수염,Mustache
Cowboy Sheriff Pistol,카우오리 보안관 총,Sheriff Pistol,카우오리 보안관 세트,Sheriff Set,피스톨,Pistol
Cowboy Sheriff Scarf,카우오리 보안관 스카프,Sheriff Scarf,카우오리 보안관 세트,Sheriff Set,스카프,Scarf
Guitar Acoustic Guitar,컨트리 어쿠스틱 기타,Country Singer Acoustic Guitar,컨트리 가수 세트,Country Singer Set,어쿠스틱 기타,Acoustic Guitar
